company_name,address,tel
㈱西博運輸,福岡県宗像市王丸779-2,0940-72-6537
株式会社あつまるホールディングス　福岡支店,福岡市博多区綱場町8-23 朝日生命福岡昭和通ビル4F,092-262-1188
サマンサジャパン㈱福岡支社,福岡市東区箱崎7-7-27,0120-303-903
株式会社　トキワビル商会,福岡県飯塚市花瀬32-1,0948-22-1718
東横イン　博多駅南,福岡市博多区博多駅南2-10-23,092-475-1045
東海工業㈱　大野城営業所,大野城市仲畑3丁目11-8,0120-680-343
株式会社　協栄開発,福岡市東区松島5丁目18-30(福岡オフィス),092-621-7888
㈱西博運輸,福岡県宗像市王丸779-2,0940-72-6537
サマンサジャパン㈱福岡支社,福岡市博多区上呉服町11-8,0120-303-903
デジツウ株式会社,福岡市博多区博多駅東1丁目1−28 ウェル博多ビル9F,092-260-7033
株式会社　栄進コーポレーション,福岡県福岡市博多区千代4-9-11＜博多営業所＞,0120-444-731
株式会社やまお,＜本社＞福岡市早良区野芥3丁目4-2,0120-054-556
焼鳥　黒のれん(㈱日本メディクス　飲食事業部),福岡市博多区吉塚8-2-35(福岡営業所 SPセンター),092-477-8805
アルファ綜合サービス株式会社,福岡市博多区板付4-12-34(福岡支社),092-408-8513
株式会社　イワサキ,糟屋郡粕屋町大字上大隈397-1　(粕屋警察署近く),092-410-3220
西日本熱設興業株式会社　福岡支店,糟屋郡宇美町ゆりが丘7-8-6(勤務地),093-475-5953
株式会社　イワサキ,糟屋郡粕屋町大字上大隈397-1　(粕屋警察署近く),092-410-3220
株式会社　壮栄,福岡県福岡市博多区千代5-1-28,092-651-7722
オーシャン＆リゾート マリゾン,〒814-0001 福岡県福岡市早良区百道浜2-902-1地先,03-5524-3900
企業組合　三興（さんこう）タクシー,福岡市博多区東比恵2-18-2,0120-86-3517
重設工業株式会社,福岡県糟屋郡粕屋町戸原746-8(本社),092-938-1700
株式会社　北部輸送,福岡市東区蒲田4丁目15-52,092-663-2888
株式会社　すこやか自慢,福岡市博多区博多駅前3-16-10　興産ビル3F,092-433-7710
株式会社　にしけい　福岡中央支社,福岡市博多区店屋町5-10(3F),092-281-8588
Evand(エヴァンド)株式会社　福岡支店,福岡県福岡市博多区博多駅前3-4-25　 アクロスキューブ博多駅前,0120-485-080
有限会社　玉川自動車工業,福岡市博多区東光寺町1丁目24-14,092-431-6518
株式会社やまお,＜本社＞福岡市早良区野芥3丁目4-2,0120-054-556
福岡資源　株式会社,福岡市西区野方7丁目925-8,092-894-7171
大東実業株式会社,糟屋郡粕屋町若宮2丁目8-2(福岡営業所),092-410-7504
株式会社三晃,福岡市中央区天神3丁目14番31号,0120-222-127
九州メンテナンス株式会社,福岡市中央区渡辺通2-3-21,092-771-0429
富士警備保障株式会社,福岡市博多区博多駅南2-1-5　博多サンシティビル3F,092-477-3919
